,MSE,RMSE,R²,Training Time
AAPL,0.0005235310424534597,0.022880800738904652,0.9316084750916801,0.009615898132324219
MSFT,0.0004574927759605993,0.02138908076474067,0.9071505813725921,0.010622262954711914
GOOGL,0.0005597719895292979,0.023659501041427267,0.9315871513605268,0.010202407836914062
AMZN,0.0006999559548255982,0.026456680721995307,0.9524752821948399,0.009855985641479492
TSLA,0.0008934871589612998,0.02989125556013497,0.9731139961676472,0.009541988372802734
