,MSE,RMSE,R²,Training Time (s)
Linear Regression,6.214195148127723e-31,7.883016648547511e-16,1.0,0.016819000244140625
Ridge Regression,0.00017157956146922278,0.013098838172495405,0.9743140450723607,0.0012593269348144531
Random Forest,0.00017674334008737058,0.01329448532615575,0.9735410125287041,2.035187244415283
Gradient Boosting,0.00016970314147267252,0.01302701583144323,0.9745949505545989,1.1485602855682373
