,MSE,RMSE,R²,Training Time (s)
Linear Regression,8.77849279083834e-31,9.369361125945749e-16,1.0,0.00867462158203125
Ridge Regression,0.00016922575041970774,0.013008679810792014,0.9838739839476839,0.0013308525085449219
Random Forest,0.0012375325400451297,0.0351785806996975,0.8820719095259675,2.012515068054199
Gradient Boosting,0.0005895501996600636,0.02428065484413597,0.9438200394456209,1.1510615348815918
