,MSE,RMSE,R²,Training Time (s)
Linear Regression,2.83227029893384e-30,1.6829350251669967e-15,1.0,0.008533477783203125
Ridge Regression,0.00016187438536949435,0.01272298649568938,0.9936960184962029,0.0014958381652832031
Random Forest,0.00046780701408522234,0.02162884680433107,0.9817818813186022,1.9905462265014648
Gradient Boosting,0.0004318049112187188,0.020779916054178824,0.9831839350780663,1.169008731842041
