,MSE,RMSE,R²,Training Time (s)
Linear Regression,1.8225751741824982e-30,1.3500278420027115e-15,1.0,0.013742685317993164
Ridge Regression,0.00016216352845028895,0.012734344445250763,0.977603954207159,1.150231122970581
Random Forest,0.00018912921087221393,0.013752425635945607,0.9738797835250825,1.9442296028137207
Gradient Boosting,0.00018058606188144777,0.013438231352430564,0.9750596589128514,1.1996204853057861
