Model,Training MSE,Testing MSE,Gap
Simple Model (max_depth=1),0.00010142721756140984,0.0002356943204134842,-0.00013426710285207439
Medium Model (max_depth=3),2.404197257126671e-05,0.00018058606188144777,-0.00015654408931018105
Complex Model (max_depth=10),4.445624176214749e-11,0.00024813242954188066,-0.0002481323850856389
