Model,MSE,RMSE,MAE,R²,MAPE,inference_time
lstm,0.1495284356856666,0.38668906848483137,0.32581125170628583,-0.2948766889268999,11.563067505966739,0.9721188545227051
linear,4.866598298057528e-29,6.97610084363574e-15,6.1922929160216945e-15,1.0,2.3187634678932706e-13,0.0007641315460205078
