,MSE_norm,MAE_norm,RMSE_norm,R²,Training Time,Inference Time,MSE_real,RMSE_real
Linear Regression,0.0005235310424534597,0.01610440310919726,0.022880800738904652,0.9316084750916801,0.026804208755493164,0.0003540515899658203,19.124939755663227,4.373207033249538
Random Forest,0.03333406986224632,0.16347498396554982,0.18257620289141277,-3.354599220316836,3.923116445541382,0.030713319778442383,1217.7159064702505,34.895786371283435
LSTM,0.005311951035423794,0.060311083721376606,0.07288313272235074,0.30607279780690777,0.12303757667541504,0.0011858940124511719,194.04913042294723,13.930151844935045
