Model,MSE,RMSE,MAE,R²,MAPE,inference_time
lstm,0.19423990129186736,0.4407265606834552,0.40503547751715335,-1.0492160571175626,14.216490537988227,0.012542009353637695
linear,1.816991953527533e-29,4.26261885878568e-15,3.483671018535904e-15,1.0,1.2281577972916825e-13,0.0010612010955810547
