,Sequence Length,MSE,RMSE,R²,Training Time
0,10,0.0005039915785172511,0.022449756758531954,0.9480341810276867,0.0009741783142089844
1,30,0.000513131896059101,0.022652414795317096,0.9407506620256834,0.004457712173461914
2,60,0.0005235310424534597,0.022880800738904652,0.9316084750916801,0.009776830673217773
3,90,0.0005433437870922947,0.02330973588636934,0.9214154262625629,0.036492347717285156
4,120,0.0005699392058984076,0.023873399546323677,0.9083312820772217,0.031877994537353516
