Model,MSE,RMSE,MAE,R²,MAPE,inference_time
lstm,0.1567276206597157,0.39588839419679345,0.33981800507034376,-0.3572197259514127,12.002748591436196,0.014412879943847656
linear,4.866598298057528e-29,6.97610084363574e-15,6.1922929160216945e-15,1.0,2.3187634678932706e-13,0.0010991096496582031
