Model,MSE,RMSE,MAE,R²,MAPE,inference_time
linear,2.5394256443885042e-30,1.593557543482037e-15,1.4921901143827718e-15,1.0,9.312664647277589e-14,0.0
lstm,3.611262339837022,1.9003321656586836,1.8083556621777095,-9.657421151317612,107.32626895452455,0.0
