Model,MSE,RMSE,MAE,R2,Training Time (s)
Linear Regression,1.217604142138006e-30,1.1034510148339192e-15,8.701748030845821e-16,1.0,0.008493423461914062
Random Forest,0.00018682425334970643,0.013668366886709854,0.010214875255557726,0.9741981195081024,2.105409860610962
Gradient Boosting,0.00018501898064725815,0.013602168233309649,0.01024674390801647,0.9744474416902533,1.347198724746704
