Model,MSE,RMSE,MAE,R²,MAPE,inference_time
lstm,0.11810268260301686,0.3436607085528063,0.28858669333406145,-0.24537777653549653,12.194911070039378,0.03723931312561035
linear,1.2164963997387825e-29,3.4878308441476665e-15,2.7414463613860025e-15,1.0,1.2599914453419164e-13,0.0019822120666503906
